ID,new_topic,post,GT Stance,predictions,predicted_stance_ BERTTWEET
20016,donald trump,bretbaier shannonbream remind obama that the 2nd amendment is here to stay as well! #tcot #molonlabe #2a #semst,UNKNOWN,shannonbream remind obama that the 2nd amendment is here to stay,FAVOR
20017,donald trump,@realdonaldtrump  i like mexicans who come to us legally.  #istandwithtrump #semst,UNKNOWN,@realdonaldtrump i like mexicans who come to us,FAVOR
20018,donald trump,we need obama out and @realdonaldtrump in the white house asap #semst,UNKNOWN,@realdonaldtrump in the white house asap. #sem,FAVOR
20019,donald trump,rt @tone_rowdy: how can this country move on from its racist past when it's leaders won't... #ourlivesmatter #semst,UNKNOWN,#ourlivesmatter #semst #semst #s,FAVOR
20020,donald trump,dear @realdonaldtrump: you are an idiot. #america #politics #sticktoyourhair #semst,UNKNOWN,@realdonaldtrump: you are an idiot. #america #politics #stick,AGAINST
20021,donald trump,@alexisgoldstein @alexfrangos #businessmatters @bbcworldbiz @bbcworldservice midnight gmt #grexit #obamacare #ironmaiden #semst,UNKNOWN,#alexisgoldstein #alexfrangos #businessmatters #bb,FAVOR
20022,donald trump,donald trump inhaled so much air spray & started to believe he is the title holder for the united states. #semst,UNKNOWN,trump inhaled so much air spray & started to believe he is the,AGAINST
20023,donald trump,the leftist liberals are starting an internal war within america. #semst,UNKNOWN,the leftist liberals are starting an internal war within america. #sems,AGAINST
20024,donald trump,.@realdonaldtrump should've kept his mouth shut & not run for pres. he is making the biggest fool out of himself. he's fired #semst,UNKNOWN,trump.trump.trump....,AGAINST
20025,donald trump,for those that are not aware,there is a difference between corporate and personal bankruptcy. Look of Chapter 11 bankruptcy. #SemST,"., for those that are not aware of the fact that there are many that are unaware",FAVOR
20026,donald trump,@peddoc63 @realdonaldtrump so i guess univision is fair & balanced. these are the people that r helping shape usa! #semst,UNKNOWN,@peddoc63 @realdonaldtrump @peddoc63 @reald,FAVOR
20027,donald trump,#presidentialelection2016  make plans to help your future now,so that later you don't regret it,2016 make plans to help your future now #presidentialelection2016 make plans,FAVOR
20028,donald trump,@rebeksy well that's just crazy! why work? #howdidwegethere #shameful #semst,UNKNOWN,@rebeksy @rebeksy @rebeksy @reb,AGAINST
20029,donald trump,@realdonaldtrump you know that middle class is latino's,right? You just shitted all over that working class you claim to need. #SemST,trump @realdonaldtrump @realdonaldtrump @reald,FAVOR
20030,donald trump,i am not sure who is coming from other countries but i will assume they must be bad cause i am rich. #semst,UNKNOWN,i am not sure who is coming from other countries but i am rich. i,AGAINST
20031,donald trump,@blisstabitha no,stand up for America,no no @blisstabitha no @blisstabitha no @bli,AGAINST
20032,donald trump,rt @ahmedthebanker: let's not forget @realdonaldtrump lost money running a casino. #semst,UNKNOWN,@ahmedthebanker @ahmedthebanker: rt,AGAINST
20033,donald trump,the media gathered the public like sheep over the rebel flag debate the government passed the fast track authority google it #semst,UNKNOWN,gathered the public like sheep over the rebel flag debate the government passed the fast track authority google,AGAINST
20034,donald trump,@realdonaldtrump did not apply to immigrants one of the trade basis,WIN TO WIN. Ignorance can not be excuse #SemST,trumptrump did not apply to immigrants one of the trade basis for the trade basis,AGAINST
20035,donald trump,beheading attack at company in france is terrorism,but beheading and attack at company in OK is work place violence. #tcot #SemST,at company in france is terrorism beheading attack at company in france is,AGAINST
20036,donald trump,hosea 4:8  they eat up the sin of my people,and they set their heart on their iniquity.  #pastors #Christians  #repent #SemST,4:8 they eat up the sin of my people. hosea 4:8,AGAINST
20037,donald trump,isis celebrates islam with 3 terror attacks overseas. bo wants 2 disarm americans so isis can mow us down at will. #tcot #semst,UNKNOWN,isis celebrates islam with 3 terror attacks overseas. bo wants 2 disarm us so,AGAINST
20038,donald trump,@kilmeade @briankilmeade obviously military industrial complex has an interest in sustained conflict war=sales #libertarian #semst,UNKNOWN,@briankilmeade @briankilmeade obviously military industrial complex has,AGAINST
20039,donald trump,@scotus creates another right in the constitution. we are living under tyranny. the will of the people is no longer! #semst,UNKNOWN,@scotus creates another right in the constitution.. #scotus create,FAVOR
20040,donald trump,#scotus rules they can rule anything they damn well please,regardless of We The People. Welcome to #tyranny.   #USA #SemST,rules they can rule anything they damn well please #scotus rules they can rule anything they,FAVOR
20041,donald trump,i don't even recognize america anymore. #scary #semst,UNKNOWN,i don't even recognize america anymore. i don't even recognize,AGAINST
20042,donald trump,sad day america...what is going on? #lnyhbt #semst,UNKNOWN,america...what is going on? america...what is going on? #l,AGAINST
20043,donald trump,the country's fucked but we can marry!! woo hoo! #semst,UNKNOWN,'s fucked but we can marry!! woo hoo! ! #s,FAVOR
20044,donald trump,this fight isn't over! #obamacare is obviously broken & it increases health care costs for millions of americans. #scotuscare #semst,UNKNOWN,#obamacare is obviously broken & it increases health care costs for millions of,FAVOR
20045,donald trump,there is a fine line between right and damnation  and in my opinion the us is going down the wrong damn road #votethemallout #semst,UNKNOWN,i agree i agree with you i agree i agree #,AGAINST
20046,donald trump,@ac360 @barbarastarrcnn erasing history will not cure the hatred heart,it only takes one person to stir the fires #CCOT #SemST,@ac360 @barbarastarrcnn erasing history will,AGAINST
20047,donald trump,it's #ff and i need more videogame & political followers -- please no eggs or communists :-). everyone else i'll followback!  #semst,UNKNOWN,i need more followers! :-). i need more followers -- please,FAVOR
20048,donald trump,@blisstabitha what to hell is going on! really scary.. nothing sacred anymore! #semst,UNKNOWN,@blisstabitha what to hell! @blisstabitha what to,AGAINST
20049,donald trump,obviously,the decision was made on june 26th because it's the closest they could get to 6/66 within the month of june,".. obviously obviously obvious it is, a clear and obvious",FAVOR
20050,donald trump,i know this is super dorky,but I REALLY hope I get my acct back in time for #CashinIn tom.   @ProfessorF @JonathanHoenig   #SemST,but i know this is super dorky and i know this is super dor,AGAINST
20051,donald trump,i'm offended @hillaryclinton is not in prison & i'm offended  hasn't started 2 #impeachobama now @barackobama  #semst,UNKNOWN,@hillaryclinton is not in prison & i'm offended hasn,FAVOR
20052,donald trump,trump for prez he couldn't do any worse so give him a shot #semst,UNKNOWN,trump for prez he could do worse. trump for prez,FAVOR
20053,donald trump,@toddstarnes marriage is designed and defined by god. no mortal man can change it. praying for our country  #ccot #pjnet #semst,UNKNOWN,@toddstarnes marriage is designed and defined by god. no mortal man can change,FAVOR
20054,donald trump,you can change the laws of america,but you can never change the Law of God. Marriage is between a man and a woman. #SemST,. You can change the laws of america by changing the laws of america.,FAVOR
20055,donald trump,@appsame  obama and hillary and ordoughan and the khomeinians and mb and isis are all serving the freemasonry  #semst,UNKNOWN,and hillary and ordoughan and the khomeinians and mb,AGAINST
20056,donald trump,@realdonaldtrump no more bush or hillary clinton #semst,UNKNOWN,trump no more bush or hillary clinton #semst #real,AGAINST
20057,donald trump,been slacking on my @realdonaldtrump retweets.. had some catching up to do .. #trumpforpresident #semst,UNKNOWN,slacking on my @realdonaldtrump retweet,FAVOR
20058,donald trump,healthcare in america must be fixed. women are everything.  #teamjason  #semst,UNKNOWN,needs to be fixed. must be fixed. women are everything. #teamjason #,FAVOR
20059,donald trump,american's,do you think we are headed in a positive direction? #USAGuard #OPACT #SemST,'s's's's's's',FAVOR
20060,donald trump,the moment you opened your mouth,that was the end of your candidate trip! @realDonaldTrump #SemST,"opened your mouth the moment you opened your mouth. The moment you opened your mouth, the moment",FAVOR
20061,donald trump,and how many  #latinos enemies you gained in 1 week? 50 million!! @realdonaldtrump #semst,UNKNOWN,how many enemies you gained in 1 week? 50 million!! ! ! #latino,AGAINST
20062,donald trump,they only did they gay marriage thing to get our attention off of all the shootings lately...  #semst,UNKNOWN,gay marriage thing to get our attention off all the shootings lately...t...,FAVOR
20063,donald trump,@tommyhubb @mikemckenna19 @scully64 @jhodnot @sandrahartle carrying  guns #semst,UNKNOWN,na19 @mikemckenna19 @scully64 @jh,AGAINST
20064,donald trump,@mtngma @crossbearer1956 @carminezozzora aren't they,though #SemST,@crossbearer1956 aren't they? @mtngma,FAVOR
20065,donald trump,i almost got myself grounded for not agreeing with my parents on marriage equality. #usisnotatheocracy #semst,UNKNOWN,i almost got myself grounded for not agreeing with my parents on marriage equality. #,AGAINST
20066,donald trump,if my only impression of the us was donald trump,I think I would hate it. #SemST,only impression of the us was donald trump trump if my only,AGAINST
20067,donald trump,they legalized gay marriage???!!!  what's next?!?!? crack?!!!?  #semst,UNKNOWN,????????????????????????????????????????????????????,FAVOR
20068,donald trump,states have already decided how they felt about this based off the wills of their people! give them their rights back! #semst,UNKNOWN,based off the wills of their people!!!!t!,FAVOR
20069,donald trump,the whitehouse displaying rainbow colors...are you shitting me? #semst,UNKNOWN,the whitehouse displaying rainbow colors...are you shitting me? ! I',AGAINST
20070,donald trump,you're combover looks like the cupacabra  guillermo @jimmykimmel so funny #semst,UNKNOWN,like the cupacabra guillermo @jimmykimmel so funny,FAVOR
20071,donald trump,"supreme court on the constitution's we the people...""it depends on what you mean by 'we'. #scotus #scotuscare #semst",UNKNOWN,"we the people"" we the people"" 'we' or 'we'",FAVOR
20072,donald trump,tyranny in full bloom with legislative editor and @chiefjusticejr court freedom hanging by thread @rednationrising #liberty #semst,UNKNOWN,@chiefjusticejr @rednationrising #liberty #s,AGAINST
20073,donald trump,@xmoraldk glad we have each other on twitter along with our home/community lives. you guys rock! #beblessed #semst,UNKNOWN,@xmoraldk @xmoraldk glad we have each other on twitter along,FAVOR
20074,donald trump,so gays can get married,but I still can't legally own a pet monkey in the USA -.- #thisiswhatswrongwiththeworld #SemST,can get married.s can get married so gays can get married. Gays can,FAVOR
20075,donald trump,thinking about deactivating my personal facebook account 'cause it's too liberal for me. liberalism is a mental disorder. #semst,UNKNOWN,about deactivating my personal facebook account 'cause it's too liberal for me,AGAINST
20076,donald trump,it disgusts me how the white house can easily pass same sex marriage,but not marijuana at the same time. #WakeAndBake  #SemST,how the white house can easily pass same sex marriages to same sex couples,FAVOR
20077,donald trump,@jonathanhoenig why arent americans allowed weekly to vote on bills that are passed by the elite on behalf of the masses? #semst,UNKNOWN,why arent americans allowed weekly to vote on bills that are passed by the elite on,AGAINST
20078,donald trump,maybe i was wrong. the government will probably ban football because someone is offended by the violent nature of the game #semst,UNKNOWN,i was wrong. i was wrong. i was wrong. i,AGAINST
20079,donald trump,@galaxysojourn until their welfare is cut,their freebies taken away the #plantationparty will always vote dem #SemST,ojourn until their welfare is cut until their welfare is cut. @galax,AGAINST
20080,donald trump,"we the people has become ""we the sheeple""  #semst",UNKNOWN,"the sheeple"" the sheeple"" sheeple"" we the people has become """,AGAINST
20081,donald trump,white terrorism is alive and well #semst,UNKNOWN,is alive and well #semst #semst #se,AGAINST
20082,donald trump,is one cup of coffee ever enough?! #coffee #semst,UNKNOWN,? is one cup of coffee ever enough?!? ? #coffee #s,FAVOR
20083,donald trump,of course @thejuanwilliams is completely wrong on the @scotus ruling on #obamacare . @michellefields is right! #semst,UNKNOWN,@michellefields is right! @semstacks is right!,FAVOR
20084,donald trump,"@michellefields ""it's not scotus' job to fix up congress's mess!"" #cashinin #semst",UNKNOWN,"""it's not scotus' job to fix up congress's mess!""",AGAINST
20085,donald trump,@ericbolling let @michellefields loose on @thejuanwilliams when he makes idiotic unsubstantiated statements. #cashinin #semst,UNKNOWN,@ericbolling @ericbolling let @ericbolling loose on,AGAINST
20086,donald trump,@docweiser01 @ericbolling @jonathanhoenig @michellefields morning doc! (hugs) #semst,UNKNOWN,@docweiser01 @ericbolling @jonathanhoenig @,FAVOR
20087,donald trump,@1962kiser @fanofgreenmms @ericbolling @jhodnot that's the one heard it causes sterilization in dem voters. err lab rats #semst,UNKNOWN,@ericbolling @ericbolling @jhodnot that's,AGAINST
20088,donald trump,@scotuscare penned by @chiefjusticejr  ends rule of law and freedom. what law will scotus  edit next? @rednationrising #semst,UNKNOWN,@chiefjusticejr and and and #scotuscare,AGAINST
20089,donald trump,whenever iran stalls  o's response is to make up new talking points! #semst,UNKNOWN,o's response is to make up new talking points! ! o',AGAINST
20090,donald trump,"@ericbolling juan says status quo is not working. remember ""detente or mad? they worked! #semst",UNKNOWN,juan says status quo is not working. ericbolling ju,AGAINST
20091,donald trump,under o & kerry's deal,if the ayatollahs want to keep their nuclear toys  they can keep their nuclear toys! PERIOD! #SemST,'s deal. o & kerry's deal is under way.,FAVOR
20092,donald trump,i really hate these stunts.  we already know how ignorant the post-reagan generations are.   #semst,UNKNOWN,. i hate these stunts. i really hate these stunts. i really,AGAINST
20093,donald trump,and ask for handouts @jjauthor: when your family is short of money,do you take Lib option to increase spending? #racism #SemST,@jjauthor: when your family is short of money: when your family is short of money,AGAINST
20094,donald trump,why does o refer to iran,Hamas,? o? o why does o refer to iran? o,AGAINST
20095,donald trump,right on @ericbolling racial fatigue and real depression is running rampant in our country these days.  #semst,UNKNOWN,@ericbolling racial fatigue and depression is running rampant in our,AGAINST
20096,donald trump,"@ericbolling ""i'm suffering from a severe case of racial fatigue. #semst",UNKNOWN,"""i'm suffering from a severe case of racial fatigue. #",AGAINST
20097,donald trump,@ericbolling sorry you got shut down during the factor last night by a useless news break. the portion you aired was potent. #semst,UNKNOWN,@ericbolling @ericbolling @ericbolling @eric,FAVOR
20098,donald trump,matters more today,then last week or yesterday.  IF YOU SEE SOMETHING SAY SOMETHING.  Bad is not even a word yet. #SemST,matters more today. Today matters more today.,FAVOR
20099,donald trump,@inmatemd @chucknellis @oh_marieloduca we can only hope #semst,UNKNOWN,@chucknellis @chucknellis @oh_marieloduca we,FAVOR
20100,donald trump,can we ask for equality in the usa and get rid of a confederate flag that has a ton of history ? meanwhile we have clowns like #semst,UNKNOWN,? ? ? meanwhile we have clowns like #sems,AGAINST
20101,donald trump,the whole latino community will not be voting for #semst,UNKNOWN,. I am sure the whole latino community will not be voting for #sem,FAVOR
20102,donald trump,"irs + hillary both ""lost"" government emails: this situation is as clear as day - the #obama admin is destroying evidence! #semst",UNKNOWN,"irs + hillary both ""lost"" government emails . this situation is as",AGAINST
20103,donald trump,@realdonaldtrump you have a real shot at potus mr. t,the debates will be the true litmus test. #SemST,mp @realdonaldtrump @realdonaldtrump @realdonal,FAVOR
20104,donald trump,@waynedupreeshow  i'm just jealous that us normal hetero people don't have a flag or pride week or a parade #semst,UNKNOWN,@waynedupreeshow i'm jealous that we normal hetero people,AGAINST
20105,donald trump,@colin_mcmanus7 2016 is the first election i can vote in and i am proudly voting for @realdonaldtrump #trumpforpresident #semst,UNKNOWN,7 2016 is the first election i can vote in and i am proud to vote for,FAVOR
20106,donald trump,trump tower is not on fire. it is the avery building. the only trump fire is the one that i hand out when #yourefired #trumprules #semst,UNKNOWN,. the. it is not on fire. it is the avery building. the,AGAINST
20107,donald trump,rt @_cfj_: rt @bcwilliams92 let's get this clear! i did not i repeat did not vote on tpp  ~ ted cruz #cruzcrew... #semst,UNKNOWN,rt @bcwilliams92 let's get this clear! i,AGAINST
20108,donald trump,imagine looking out at the world and the america obama has created while thinking things are better?  my god...  #tcot #pjnet #semst,UNKNOWN,?? obama has created a better world for us all.,AGAINST
20109,donald trump,unfounded data/support for such drastic claims to be made against mexico & all its ppl sorry guys i guess i rape & sell drugs #semst,UNKNOWN,/support for such drastic claims to be made against mexico & all its pp,AGAINST
20110,donald trump,i love it when #conservatives say #government is #tyranny and out to get us,then in D next sentence say #SupportOurTroops : #SemST,i love it when #conservatives say #government is tyranny,AGAINST
20111,donald trump,i like many entries in the 2016 presidential race; but no one is more accomplished than donald trump. his cabinet will be full. #semst,UNKNOWN,i like many entries in the 2016 presidential race; but no one is more accomplished than don,FAVOR
20112,donald trump,@jewtantandproud @tookymonster the new and cool meme is to post a video of you eating a banana. i will if you will! #bananavideo #semst,UNKNOWN,@jewtantandproud @tookymonster the new and cool meme,FAVOR
20113,donald trump,rt @misssweets2: msm is defending a wht woman posing as blk & forgets about americans held in iran! time to #rednationrising... #semst,UNKNOWN,rt @misssweets2: msm is defending a wht,AGAINST
20114,donald trump,@realdonaldtrump go get 'em mr. trump!!! #semst,UNKNOWN,trump go get 'em @realdonaldtrump go get ',FAVOR
20115,donald trump,a vote against trump is a vote against america #semst,UNKNOWN,trump is a vote against america #semst #se,AGAINST
20116,donald trump,rt @reel_fisherman6: i think donald would bring this country back to where we used to be #semst,UNKNOWN,not_entailment,FAVOR
20117,donald trump,my message to lgbt rights supporters: if you hate america,Please Leave. #SemST,"rights supporters: if you hate america, hate america: if you hate",FAVOR
20118,donald trump,@2afight all these shootings in america are planned. stay safe stay second amendment. illegal guns kill people way more wtf?!!! #semst,UNKNOWN,fight @2afight @2afight all these shootings in america are planned.,AGAINST
20119,donald trump,i really hope @realdonaldtrump doesn't combover and shoot me with the pistol he's constantly packing.. #semst,UNKNOWN,i really hope @realdonaldtrump doesn't combover and shoot me,AGAINST
20120,donald trump,for the record,as a #Latino,the record. Thank you. record. record.. record.,FAVOR
20121,donald trump,@moneyforlies #lolz apparently you're unaware of history. what are you? six? or merely ignorant?  @thedemocrats  @mmfa  #semst,UNKNOWN,@moneyforlies @moneyforlies @lolz apparently you're unaware,AGAINST
20122,donald trump,@realdonaldtrump you're the man for the job #makeamericagreatagain #semst,UNKNOWN,trump @realdonaldtrump you're the man for the job #,FAVOR
20123,donald trump,obama is liberalism's false idol. reject that p.o.s. #voteoutrino's #boycottmsnbc #votecruz #michelleobamaisaman #semst,UNKNOWN,obama is liberalism's false idol.'s false idol.,AGAINST
20124,donald trump,all #war is on you! the evil machine wants to control u. #tcot #tlot #dems #teaparty #occupy  #cdnpoli #privacy #love #art #semst,UNKNOWN,#war on you! #war on you! #tcot #tlot #dem,AGAINST
20125,donald trump,@marypatriott @steph93065 @realjameswoods why not feed these disgusting s.o.b to the muslims they would love em. #semst,UNKNOWN,@marypatriott @steph93065 @realjameswoods why,AGAINST
20126,donald trump,@rene_gadecowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime #semst,UNKNOWN,@danoroadblade @rene_gadecowboy @dan,AGAINST
20127,donald trump,@realdonaldtrump we need someone like you who won't back down to anyone or anything #semst,UNKNOWN,trump we need someone like you who won't back down to anyone or anything or anything,FAVOR
20128,donald trump,#lovewins ---> i'm hating the rainbow because of this!!#notogaymarriage #wakeuplebanon  #semst,UNKNOWN,#lovewins ---> i'm hating the rainbow because of this,AGAINST
20129,donald trump,@chriswallace there may be 2000 nutjobs of that number and all they need to do is find eachother. the net has given that #fns #semst,UNKNOWN,@chriswallacest #fns #sems,AGAINST
20130,donald trump,i can't believe how many followers i gained today  #semst,UNKNOWN,i can't believe how many followers i gained today #semst,FAVOR
20131,donald trump,@wpaulsen31 if a candidate seems to dumb to debate my paper boy hes not getting my vote #semst,UNKNOWN,@wpaulsen31 if a candidate seems dumb to debate my paper,FAVOR
20132,donald trump,@haleyelenaa and his favourite beaches are probably in acapulco and cabo  #semst,UNKNOWN,aa and his favourite beach is probably acapulco and cabo and,FAVOR
20133,donald trump,@geraldorivera @realdonaldtrump don't apologize for the truth. people are too sensitive. #makeamericagreatagain #semst,UNKNOWN,@realdonaldtrump @geraldorivera @realdonald,FAVOR
20134,donald trump,everybody get on the trump train!! it's a first class one-way ticket to the white house with @realdonaldtrump  #semst,UNKNOWN,trump! !! ! @realdonaldtrump #,FAVOR
20135,donald trump,time for texas & oklahoma to think about a no fault divorce from the divided states of america.   #tcot #ccot #tippingpoint #semst,UNKNOWN,it's & oklahoma. #tippingpoint #s,AGAINST
20136,donald trump,@forq2 i guess @realdonaldtrump really doesnt like or respect any politicians. .i respect him even more for that. #semst,UNKNOWN,@forq2 @realdonaldtrump i guess he really doesn,AGAINST
20137,donald trump,...and of course,God bless America!! #tcot  #teaparty  #SemST,...and of course of course of course of course of course of course of course of course,FAVOR
20138,donald trump,hey y'all giving a big old s/o to donald trump,we settled our differences and are butt tight now #SemST,hey hey y'all giving a big old s/o to,AGAINST
20139,donald trump,in todays america,does Honesty mean you are a Bigot?  I Hope not! @JonathanHoenig @JudgeJeanine #TheFive #Hannity #SemST,america.s america. in todays america. in todays america,FAVOR
20140,donald trump,black lives only matter to politicians around election time. #semst,UNKNOWN,#semst. #semst. #sems,AGAINST
20141,donald trump,571 days left until obama leaves the white house. #semst,UNKNOWN,leaves the white house.. leaves the white house. leaves the white house.,FAVOR
20142,donald trump,trump believes in traditional marriage so strongly that he's been traditionally married 3x. he should teach a class or something. #semst,UNKNOWN,believes in traditional marriage so strongly that he's been traditionally married 3x. tru,FAVOR
20143,donald trump,@realdonaldtrump we need a president who cannot be bought. #semst,UNKNOWN,@realdonaldtrump we need a president who cannot be bought. #real,AGAINST
20144,donald trump,"@kiddynamiteblog between #hillary2016 ""a sadistic psychiatric nurse let loose in a lunatic asylum"" & #bush16 ppl may vote #shit! #semst",UNKNOWN,"@kiddynamiteblog and @hillary2016 ""a sadistic psychi",AGAINST
20145,donald trump,we have become a nation where decisions are based on feelings and not on facts.  #tcot #ycot #semst,UNKNOWN,a nation where decisions are based on feelings and not on facts. #tcot #,AGAINST
20146,donald trump,i admire how real and unapologetic donald trump is on his political standpoints #semst,UNKNOWN,i admire how real and unapologetic donald trump is on his,FAVOR
20147,donald trump,@thereaibanksy stop making racist peopld rich! #semst,UNKNOWN,@thereaibanksy stop making racist peopld rich! #s,AGAINST
20148,donald trump,be prepared - if we continue the policies of the liberal left,we will be #Greece - #SemST,prepared - if we continue the policies of the liberal left - if we continue,AGAINST
20149,donald trump,@realdonaldtrump probably because @jorgeramosnews had to change it after you published his old one on instagram #trumpthechump #semst,UNKNOWN,@realdonaldtrump probably because @jorgeramosnews had to change it,AGAINST
20150,donald trump,rt @bdckool: .@realdonaldtrump of you can do for america what you did for your businesses,you will secure my vote. #SemST,@realdonaldtrump of you can do for america what you did for your,FAVOR
20151,donald trump,reminder: democrats stole  $716 billion from medicare f/ the elderly & gave it to medicaid to help pay for #obamacare. #semst,UNKNOWN,democrats stole $716 billion from medicare f/ the elderly & gave it to,FAVOR
20152,donald trump,@thehill you continue to shoot yourself in the foot. i guess this is for entertainment purposes only! #semst,UNKNOWN,@thehill @thehill i guess this is for entertainment purposes only! @the,AGAINST
20153,donald trump,@realdonaldtrump i feel the train is gaining steam.  #semst,UNKNOWN,trump i feel the train is gaining steam.trump i feel,AGAINST
20154,donald trump,@realdonaldtrump hell i'm from the uk and i believe @realdonaldtrump would make an amazing world leader #semst,UNKNOWN,@realdonaldtrump hell i'm from the uk and,FAVOR
20155,donald trump,i'm confused?? an unarmed fugitive was shot this weekend while running from an officer.  no rioting? no dismissal? a hero?  #semst,UNKNOWN,i'm confused?? an unarmed fugitive was shot this weekend while running,AGAINST
20156,donald trump,trump: chicago is a great city. i love spending time in my building. #semst,UNKNOWN,chicago is a great city. trump: chicago is a great,FAVOR
20157,donald trump,@realdonaldtrump i recommend @seanhannity as sec of defense and @marklevinshow as your new atty general. #semst,UNKNOWN,trump @realdonaldtrump i recommend @seanhann,FAVOR
20158,donald trump,is #greece waking up to the disaster of #socialism and a world without borders? #semst,UNKNOWN,greece waking up to the disaster of #socialism and a world without borders,AGAINST
20159,donald trump,really respect @realdonaldtrump for giving up #theapprentice to make way for his #campaign #americaneedsthis #godblessedamerica #semst,UNKNOWN,trump for giving up his #campaign #americaneedsthis #god,FAVOR
20160,donald trump,this country doesnt have victories any more.  when is the last time we beat china in trade? #talkcityclub #semst,UNKNOWN,have no more victories. have any more victories. i dont know.,AGAINST
20161,donald trump,putting our marines on non us flagged ships would be against everything that is america,for Gods sake end #Progressivism #SemST,flagged ships would be against everything that is america. putting our marines on non,AGAINST
20162,donald trump,if the obama cabinet was on the apprentice who would you fire?  kerry was the answer. #talkcityclub #semst,UNKNOWN,the apprentice kerry was the answer. kerry was the answer. if,AGAINST
20163,donald trump,.@robertthedeuce true,@Obama @MSNBCYourBiz @AlanColmes doesn't care,@robertthedeuce true .@robertthedeu,FAVOR
20164,donald trump,i guess nbc does not like to hear the truth. #semst,UNKNOWN,i guess nbc does not like to hear the truth.t,AGAINST
20165,donald trump,y'all knew it was going to happen.  wasn't it just a matter of time?  #semst,UNKNOWN,y'all knew it was going to happen. y'all knew it was going,FAVOR
20166,donald trump,.@nbc ends relationship with @realdonaldtrump over his disgusting derogatory remarks. this man ha no place in the white house. #semst,UNKNOWN,@realdonaldtrump over his disgusting derogatory remarks. @,AGAINST
20167,donald trump,@realdonaldtrump is such an idiot. he's risking way to much for something he'll never get. #semst,UNKNOWN,trump is such an idiot.trump is such an idiot. he's,AGAINST
20168,donald trump,so,Donald gets fired,,FAVOR
20169,donald trump,props to @nbc,they are connected to Telemundo. Even more impressive they dumped Trump after Univision squabble. #DumpTrump #SemST,to @nbc @nbc_nbc @nbc_,FAVOR
20170,donald trump,i suddenly find myself liking @nbc a whole lot more than ever before.forpresidentoftheclubofidiots #semst,UNKNOWN,i love @nbc. i love @nbc.,FAVOR
20171,donald trump,will fox news pick up #missusa and #missuniverse?  stay tuned to find out.  #yourefired #nbc #foxnews #semst,UNKNOWN,will fox news pick up #missusa and #missuniverse? will fox,FAVOR
20172,donald trump,@politico is there anybody more sue happy than this fool? #trump #lawsuitabuse #semst,UNKNOWN,@politico is there anybody more sue happy than this fool? @politico,AGAINST
20173,donald trump,hey #uniteblue look at #greece - that's america's future thanks to you and obama adding 8 triion in u.s. debt. #semst,UNKNOWN,- - that's america's future thanks to you and o,AGAINST
20174,donald trump,@realdonaldtrump he is a real leader and deserves to be president. #semst,UNKNOWN,@realdonaldtrump he is a real leader and deserves to be president,FAVOR
